int_float,int_missing,int_missing_float,int_string,int_missing_string,float_to_string,date_to_string,missing_int
1,2,,4,,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
1,2,3,4,5,6.0,2020-06-26,
